metric,n,mk_tau,mk_S,mk_varS,mk_Z,mk_p,sen_slope_per_year,lin_slope,lin_intercept,lin_R2,lin_p,pettitt_index,pettitt_x,pettitt_p
annual_mean_sst,41,0.651219512195122,534.0,7926.666666666667,5.986623019066241,2.14242557028399e-09,0.03126869201660156,0.031356481891060516,-43.30010512880325,0.6672705341917567,0.0,18,2002,3.721982847011988e-05
annual_max_sst,41,0.424390243902439,348.0,7926.666666666667,3.897482528360198,9.719783225548007e-05,0.045270801992977366,0.044518485384950866,-61.816264679539465,0.35466313499167057,3.663044782831193e-06,25,2009,0.0021095593189622416
annual_min_sst,41,0.32439024390243903,266.0,7926.666666666667,2.976463602350007,0.0029159369291460457,0.026346887391189046,0.025396493586098634,-37.40176859599858,0.21744140728316674,0.0009951738150846268,29,2013,0.07146530871470778
