metric,n,mk_tau,mk_S,mk_varS,mk_Z,mk_p,sen_slope_per_year,lin_slope,lin_intercept,lin_R2,lin_p,pettitt_index,pettitt_x,pettitt_p
n_events,36,0.40793650793650793,257.0,5239.0,3.5368428706811055,0.00040494050450523567,0.10172413793103449,0.11536619865596028,-227.61370678789908,0.301557661806655,0.00012740762317275944,21,2010,0.0013958590987932804
total_mhw_days,36,0.4888888888888889,308.0,5386.0,4.183166982173036,2.8747607853540913e-05,3.082491582491582,3.6724934091397166,-7301.611296101671,0.4701554512302867,3.9583255784236826e-08,21,2010,0.00037225110851413457
max_intensity_degC,36,0.44126984126984126,278.0,5390.0,3.7729876745861293,0.00016130425953564398,0.03127904633680976,0.0326441860681349,-64.1049556552508,0.3740547814524736,6.55857782927427e-06,13,2002,0.0006239593150176982
mean_intensity_degC,36,0.49206349206349204,310.0,5390.0,4.2088562868126855,2.5666656494838236e-05,0.009183462639391682,0.00971321843709456,-18.98912608994371,0.35840701839669165,1.3119212288081883e-05,13,2002,0.00037225110851413457
longest_event_days,36,0.41904761904761906,264.0,5376.666666666667,3.5867341858956854,0.0003348453478611013,1.0,1.6030183113087735,-3184.4198061544307,0.3049490246043327,0.00011232962473028962,21,2010,0.00396916248781099
